                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3179,                0.32012,                0.83424,                0.97513,                0.99551,                0.99486,                0.96639,                0.27363,                0.26152,                 0.8531,             0.00029611,             0.00029611,             0.00029611
                      2,                0.37193,                0.34226,                0.84076,                 0.9916,                0.99818,                0.99493,                0.96197,                0.27622,                0.28036,                0.85818,             0.00059318,             0.00059318,             0.00059318
                      3,                0.40153,                 0.3546,                0.84513,                0.99013,                0.99838,                0.99488,                0.94601,                0.35984,                0.30523,                0.86692,             0.00088425,             0.00088425,             0.00088425
                      4,                0.41478,                0.35687,                0.84542,                0.98728,                0.99856,                0.99482,                0.95555,                0.28264,                0.27693,                0.85614,               0.000882,               0.000882,               0.000882
                      5,                0.40847,                0.35186,                0.84929,                0.98389,                0.99812,                0.99465,                 0.9535,                0.31709,                 0.2732,                 0.8751,               0.000873,               0.000873,               0.000873
                      6,                0.39784,                0.34542,                0.84562,                0.98208,                0.99958,                0.99426,                 0.9611,                0.31752,                0.29722,                0.85888,               0.000864,               0.000864,               0.000864
                      7,                0.40421,                0.34474,                0.84461,                0.99011,                0.99966,                0.99481,                0.96196,                0.30416,                0.26809,                0.85952,             0.00085501,             0.00085501,             0.00085501
                      8,                0.40875,                0.34854,                0.84884,                0.98803,                0.99705,                  0.995,                0.94983,                0.35021,                0.30091,                 0.8604,             0.00084601,             0.00084601,             0.00084601
                      9,                0.39562,                0.34163,                0.84438,                0.99098,                0.99853,                0.99496,                0.96143,                  0.301,                0.26335,                0.86105,             0.00083701,             0.00083701,             0.00083701
                     10,                0.36314,                0.32395,                 0.8364,                0.99099,                0.99988,                0.99494,                0.96849,                  0.307,                0.26067,                0.85419,             0.00082801,             0.00082801,             0.00082801
                     11,                0.37227,                0.32611,                0.83848,                0.99089,                0.99575,                0.99498,                0.95994,                0.33514,                 0.2812,                  0.858,             0.00081901,             0.00081901,             0.00081901
                     12,                0.38275,                0.32697,                0.83802,                 0.9892,                0.99908,                0.99494,                0.96212,                0.27823,                 0.2513,                0.85508,             0.00081001,             0.00081001,             0.00081001
                     13,                0.37461,                 0.3231,                0.83844,                0.99245,                0.99859,                 0.9949,                0.97012,                0.28647,                0.25623,                0.85047,             0.00080101,             0.00080101,             0.00080101
                     14,                0.36157,                0.31707,                0.83812,                0.98518,                0.99788,                0.99492,                0.96101,                0.28313,                0.26143,                0.85452,             0.00079201,             0.00079201,             0.00079201
                     15,                0.34584,                0.30848,                0.83202,                0.98684,                0.99729,                0.99391,                0.96575,                0.25478,                0.24766,                0.84583,             0.00078301,             0.00078301,             0.00078301
                     16,                0.33971,                0.30566,                0.83359,                0.98929,                0.99827,                 0.9939,                0.96704,                0.29253,                0.27707,                0.85224,             0.00077401,             0.00077401,             0.00077401
                     17,                0.36148,                0.31672,                0.83616,                0.99191,                0.99812,                0.99488,                0.97181,                0.27873,                0.26153,                 0.8496,             0.00076501,             0.00076501,             0.00076501
                     18,                0.34451,                0.30289,                0.83236,                0.99505,                0.99844,                 0.9949,                0.97035,                0.26012,                0.24128,                0.84723,             0.00075602,             0.00075602,             0.00075602
                     19,                0.33806,                0.29982,                 0.8333,                0.99263,                 0.9986,                0.99497,                0.96605,                0.27022,                0.26008,                0.85187,             0.00074702,             0.00074702,             0.00074702
                     20,                0.33527,                0.29843,                0.83299,                0.98798,                0.99863,                0.99305,                0.97292,                0.24829,                 0.2458,                0.84383,             0.00073802,             0.00073802,             0.00073802
                     21,                0.33942,                0.30018,                0.83277,                0.99553,                0.99881,                0.99493,                0.96526,                0.26921,                 0.2584,                0.84996,             0.00072902,             0.00072902,             0.00072902
                     22,                0.34851,                0.30576,                 0.8323,                  0.988,                0.99868,                0.99112,                0.97187,                0.27183,                0.24867,                0.85385,             0.00072002,             0.00072002,             0.00072002
                     23,                0.35415,                 0.3047,                0.83113,                0.99146,                0.99859,                0.99498,                 0.9722,                0.26547,                0.24155,                0.84967,             0.00071102,             0.00071102,             0.00071102
                     24,                0.34334,                0.29474,                0.83155,                0.98732,                0.99698,                0.99498,                0.96598,                0.27109,                0.23806,                0.85177,             0.00070202,             0.00070202,             0.00070202
                     25,                0.32694,                0.28643,                0.82473,                0.98408,                0.99829,                0.99494,                0.97169,                  0.234,                0.23695,                0.84576,             0.00069302,             0.00069302,             0.00069302
                     26,                0.33108,                0.28925,                 0.8293,                0.99236,                0.99673,                0.99496,                0.97452,                0.25014,                0.23804,                0.84301,             0.00068402,             0.00068402,             0.00068402
                     27,                 0.3273,                0.28452,                0.82534,                0.99625,                0.99823,                0.99493,                0.95842,                0.26905,                0.23711,                0.84663,             0.00067502,             0.00067502,             0.00067502
                     28,                0.32063,                0.28073,                0.82568,                0.99539,                0.99901,                0.99493,                0.97573,                0.24063,                0.23587,                0.84002,             0.00066602,             0.00066602,             0.00066602
                     29,                0.29797,                0.27294,                0.82464,                 0.9939,                0.99803,                0.99499,                0.97581,                 0.2373,                0.22617,                0.84325,             0.00065703,             0.00065703,             0.00065703
                     30,                0.31109,                0.27564,                 0.8271,                0.99095,                0.99835,                0.99496,                0.96704,                0.24719,                 0.2232,                0.84523,             0.00064803,             0.00064803,             0.00064803
                     31,                0.31833,                0.27994,                0.82769,                0.99231,                0.99729,                0.99496,                0.97857,                0.23063,                0.21745,                0.84055,             0.00063903,             0.00063903,             0.00063903
                     32,                0.30569,                0.27287,                0.82443,                0.99293,                0.99781,                0.99493,                 0.9806,                0.22062,                0.21861,                0.83862,             0.00063003,             0.00063003,             0.00063003
                     33,                0.29462,                 0.2679,                0.82254,                0.99194,                0.99828,                0.99489,                0.98051,                0.21077,                 0.2176,                0.83584,             0.00062103,             0.00062103,             0.00062103
                     34,                0.29407,                0.26542,                0.82053,                0.99289,                0.99851,                0.99496,                0.98073,                0.23993,                0.22752,                0.84479,             0.00061203,             0.00061203,             0.00061203
                     35,                0.28985,                0.26198,                0.82095,                0.98661,                0.99847,                0.99493,                 0.9801,                0.20713,                0.21162,                0.83752,             0.00060303,             0.00060303,             0.00060303
                     36,                0.28808,                0.26361,                0.81985,                0.98588,                0.99787,                0.98758,                0.96777,                0.23855,                0.21999,                0.83939,             0.00059403,             0.00059403,             0.00059403
                     37,                0.29222,                0.26478,                0.82251,                0.98049,                0.99841,                0.99488,                0.97751,                0.23315,                0.22188,                0.83772,             0.00058503,             0.00058503,             0.00058503
                     38,                0.29242,                0.26387,                0.82084,                0.99194,                0.99839,                0.99495,                0.97974,                0.23588,                 0.2076,                0.83527,             0.00057603,             0.00057603,             0.00057603
                     39,                0.29321,                0.26243,                0.82316,                0.99352,                0.99845,                0.99499,                  0.975,                0.23277,                0.22409,                0.83385,             0.00056703,             0.00056703,             0.00056703
                     40,                0.29418,                0.25873,                0.82031,                0.99234,                0.99784,                  0.995,                0.97983,                0.22951,                0.21106,                 0.8363,             0.00055804,             0.00055804,             0.00055804
                     41,                 0.2865,                0.25402,                0.82111,                0.98757,                0.99812,                0.99324,                0.98093,                0.18152,                0.19647,                0.82898,             0.00054904,             0.00054904,             0.00054904
                     42,                0.28038,                0.25137,                0.81658,                0.99404,                0.99835,                0.99493,                0.98543,                0.20927,                0.20501,                0.83453,             0.00054004,             0.00054004,             0.00054004
                     43,                0.29539,                0.25798,                0.82019,                0.99185,                0.99811,                0.99486,                0.98296,                0.19525,                0.20812,                0.83534,             0.00053104,             0.00053104,             0.00053104
                     44,                0.27778,                0.24883,                0.81635,                 0.9946,                 0.9986,                0.99497,                0.97725,                 0.2334,                0.21614,                0.83627,             0.00052204,             0.00052204,             0.00052204
                     45,                0.28015,                0.25144,                0.82073,                 0.9898,                0.99657,                0.99499,                0.97816,                0.20873,                0.20083,                0.83331,             0.00051304,             0.00051304,             0.00051304
                     46,                0.27339,                0.24861,                0.81867,                0.98755,                0.99827,                0.99497,                0.98353,                0.18208,                0.19351,                0.82978,             0.00050404,             0.00050404,             0.00050404
                     47,                0.26732,                0.24599,                 0.8154,                0.99294,                0.99839,                0.99498,                0.98428,                0.19925,                0.19356,                0.83053,             0.00049504,             0.00049504,             0.00049504
                     48,                0.26855,                0.24785,                0.81597,                0.98694,                0.99824,                0.99483,                0.97503,                 0.1861,                0.19177,                0.82914,             0.00048604,             0.00048604,             0.00048604
                     49,                0.27295,                0.24991,                0.82107,                0.98979,                 0.9986,                0.99498,                0.98539,                0.17717,                0.18257,                0.83238,             0.00047704,             0.00047704,             0.00047704
                     50,                0.26645,                0.24453,                0.81477,                0.98761,                0.99837,                0.99498,                0.98675,                0.17823,                0.18653,                0.83213,             0.00046804,             0.00046804,             0.00046804
                     51,                0.26034,                0.24133,                0.81399,                0.99248,                 0.9974,                0.99496,                0.98513,                0.18637,                0.19432,                0.83728,             0.00045904,             0.00045904,             0.00045904
                     52,                0.25978,                0.24129,                0.81404,                0.99359,                0.99849,                0.99498,                0.98634,                0.19329,                0.19755,                0.83373,             0.00045005,             0.00045005,             0.00045005
                     53,                0.25797,                0.23903,                0.81412,                0.99238,                0.99849,                0.99498,                0.98605,                0.16815,                0.18513,                0.83242,             0.00044105,             0.00044105,             0.00044105
                     54,                0.26178,                0.24034,                0.81472,                0.98727,                0.99799,                  0.995,                0.98455,                0.19841,                0.18697,                0.83278,             0.00043205,             0.00043205,             0.00043205
                     55,                0.26067,                0.24101,                0.81472,                0.99268,                 0.9986,                0.99496,                0.98555,                0.16865,                0.17735,                0.82748,             0.00042305,             0.00042305,             0.00042305
                     56,                0.25289,                0.23646,                0.81433,                0.99398,                0.99835,                0.99494,                0.98466,                0.16103,                0.18261,                0.83114,             0.00041405,             0.00041405,             0.00041405
                     57,                0.25413,                0.23719,                0.81611,                0.99393,                0.99851,                  0.995,                0.98356,                0.17338,                0.18242,                0.82869,             0.00040505,             0.00040505,             0.00040505
                     58,                0.25632,                0.23761,                0.81305,                0.99358,                0.99871,                0.99498,                0.98494,                0.17538,                0.18204,                0.83133,             0.00039605,             0.00039605,             0.00039605
                     59,                0.25079,                0.23318,                0.81191,                0.99517,                0.99856,                0.99498,                0.98482,                0.18281,                0.19019,                0.83132,             0.00038705,             0.00038705,             0.00038705
                     60,                0.25337,                0.23572,                0.81265,                0.99404,                0.99856,                0.99497,                0.98609,                0.18951,                0.18624,                0.83176,             0.00037805,             0.00037805,             0.00037805
                     61,                0.25841,                0.23926,                0.81566,                0.99663,                0.99883,                0.99498,                 0.9877,                0.17407,                0.18012,                0.82729,             0.00036905,             0.00036905,             0.00036905
                     62,                0.25103,                0.23116,                0.81388,                0.99381,                 0.9989,                0.99498,                0.98524,                0.16486,                0.18097,                0.82774,             0.00036005,             0.00036005,             0.00036005
                     63,                 0.2468,                 0.2297,                0.81023,                0.99386,                0.99924,                0.99498,                0.98961,                0.15301,                0.17843,                0.82878,             0.00035106,             0.00035106,             0.00035106
                     64,                0.23703,                0.22431,                  0.812,                0.99342,                 0.9992,                0.99496,                0.98706,                0.15886,                0.17505,                0.82592,             0.00034206,             0.00034206,             0.00034206
                     65,                0.23365,                0.22223,                0.81208,                0.99346,                0.99913,                0.99499,                0.98821,                0.15314,                0.17042,                0.82771,             0.00033306,             0.00033306,             0.00033306
                     66,                0.23871,                0.22517,                0.81324,                0.99308,                0.99856,                  0.995,                0.98882,                0.15406,                0.16878,                0.82773,             0.00032406,             0.00032406,             0.00032406
                     67,                0.23754,                0.22388,                0.81127,                0.99341,                  0.998,                0.99496,                0.98691,                0.16159,                0.17208,                0.82648,             0.00031506,             0.00031506,             0.00031506
                     68,                0.23769,                0.22232,                0.81052,                 0.9945,                0.99911,                  0.995,                0.98851,                0.16454,                0.16929,                0.82556,             0.00030606,             0.00030606,             0.00030606
                     69,                0.23798,                0.22392,                0.81254,                0.99277,                0.99886,                  0.995,                0.98862,                0.15351,                 0.1674,                 0.8242,             0.00029706,             0.00029706,             0.00029706
                     70,                0.23289,                0.22014,                 0.8108,                0.99247,                0.99865,                0.99499,                0.98715,                0.15253,                0.16504,                0.82489,             0.00028806,             0.00028806,             0.00028806
                     71,                0.23079,                0.22003,                0.80946,                0.99376,                0.99876,                0.99494,                0.98645,                0.15471,                0.16796,                0.82596,             0.00027906,             0.00027906,             0.00027906
                     72,                0.22805,                0.21728,                0.80954,                0.99318,                0.99938,                0.99496,                0.98736,                0.16219,                0.16733,                0.82483,             0.00027006,             0.00027006,             0.00027006
                     73,                0.22791,                0.21728,                0.80877,                0.99617,                0.99927,                0.99497,                0.98724,                0.15557,                0.16912,                0.82431,             0.00026106,             0.00026106,             0.00026106
                     74,                0.22511,                0.21457,                0.80504,                0.99165,                0.99954,                0.99496,                0.98935,                0.15021,                0.16286,                0.82281,             0.00025207,             0.00025207,             0.00025207
                     75,                0.22029,                0.21139,                 0.8078,                0.99665,                0.99881,                0.99495,                 0.9872,                 0.1471,                0.15567,                0.82244,             0.00024307,             0.00024307,             0.00024307
                     76,                0.22061,                0.21062,                 0.8084,                0.99299,                0.99928,                0.99496,                0.98617,                0.13936,                0.15438,                0.82239,             0.00023407,             0.00023407,             0.00023407
                     77,                0.21407,                0.20778,                0.80693,                0.99406,                0.99924,                  0.995,                0.98902,                 0.1493,                0.15626,                 0.8237,             0.00022507,             0.00022507,             0.00022507
                     78,                0.21606,                0.20738,                0.80362,                0.99602,                0.99913,                  0.995,                0.98978,                0.14883,                0.15944,                0.82242,             0.00021607,             0.00021607,             0.00021607
                     79,                0.21601,                0.20879,                0.80694,                0.99386,                0.99908,                0.99496,                 0.9886,                0.14118,                0.15747,                0.82472,             0.00020707,             0.00020707,             0.00020707
                     80,                0.21348,                0.20757,                0.80678,                0.99376,                0.99934,                0.99496,                0.98605,                0.12358,                0.14981,                0.82271,             0.00019807,             0.00019807,             0.00019807
                     81,                0.21385,                0.20752,                0.80718,                0.99348,                0.99946,                0.99122,                0.98469,                0.13371,                0.15056,                0.82236,             0.00018907,             0.00018907,             0.00018907
                     82,                0.21628,                0.20812,                0.80666,                 0.9932,                0.99924,                  0.995,                0.98991,                 0.1408,                0.15157,                0.82381,             0.00018007,             0.00018007,             0.00018007
                     83,                0.20965,                0.20513,                0.80761,                0.99395,                0.99912,                0.99122,                0.98328,                0.13301,                0.15212,                0.82408,             0.00017107,             0.00017107,             0.00017107
                     84,                0.20708,                0.20141,                0.80161,                0.99333,                0.99918,                  0.995,                0.98923,                0.13733,                0.15335,                0.82152,             0.00016207,             0.00016207,             0.00016207
                     85,                0.20962,                0.20381,                 0.8042,                0.99226,                 0.9995,                0.99499,                0.98786,                 0.1303,                0.14944,                 0.8211,             0.00015308,             0.00015308,             0.00015308
                     86,                  0.207,                0.20168,                0.80875,                0.99263,                0.99959,                  0.995,                0.98893,                0.12773,                0.14418,                0.81904,             0.00014408,             0.00014408,             0.00014408
                     87,                0.20368,                0.19956,                0.80458,                0.99364,                0.99913,                  0.995,                0.98788,                0.13032,                0.14647,                0.81986,             0.00013508,             0.00013508,             0.00013508
                     88,                0.20375,                0.19996,                 0.8059,                0.99369,                 0.9992,                  0.995,                0.98666,                0.13272,                0.14655,                0.82056,             0.00012608,             0.00012608,             0.00012608
                     89,                0.20389,                0.20073,                0.80728,                0.99347,                0.99911,                0.99496,                0.98627,                0.12239,                0.14493,                0.81997,             0.00011708,             0.00011708,             0.00011708
                     90,                0.19873,                0.19643,                0.80278,                0.99382,                 0.9992,                0.99497,                0.98833,                0.11953,                0.14401,                0.82052,             0.00010808,             0.00010808,             0.00010808
                     91,                0.18511,                0.18189,                0.77849,                 0.9925,                0.99942,                0.99499,                0.98894,                0.13384,                0.15189,                0.82229,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.17014,                0.17234,                0.77901,                0.99187,                0.99937,                  0.995,                0.98807,                0.14106,                0.15264,                0.82265,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.16101,                0.16494,                0.77462,                0.99229,                0.99909,                0.99458,                 0.9877,                0.12797,                 0.1525,                0.82306,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.15831,                0.16299,                0.77577,                0.99257,                0.99946,                0.99404,                0.98654,                0.13591,                 0.1531,                0.82372,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 0.1521,                0.15901,                0.77314,                0.99315,                0.99954,                0.99423,                 0.9865,                0.12809,                0.15174,                0.82261,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 0.1492,                0.15739,                0.77504,                0.99328,                0.99958,                0.99237,                0.98555,                0.12527,                0.14729,                0.82221,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.14796,                0.15472,                0.77388,                0.99342,                0.99972,                0.99132,                0.98544,                0.12598,                0.14831,                0.82256,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.14536,                0.15428,                0.77154,                0.99335,                0.99957,                0.99123,                0.98651,                0.12179,                0.14634,                0.82147,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.14135,                0.15123,                0.77767,                0.99355,                 0.9997,                0.99165,                0.98642,                0.11939,                0.14381,                0.82043,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.13878,                0.14954,                 0.7731,                0.99354,                0.99957,                0.99264,                0.98735,                0.11708,                0.14078,                0.82051,             1.8089e-05,             1.8089e-05,             1.8089e-05
